resource_id,category,resource_type,raw_resource_type,name,arn,service,account_id,region
aws:resource:arn:aws:s3:::accounts-beta.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-beta.apguyver.com,arn:aws:s3:::accounts-beta.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-beta.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-beta.apgyver.com,arn:aws:s3:::accounts-beta.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-beta.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-beta.apparchitect.com,arn:aws:s3:::accounts-beta.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-beta.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-beta.appguyver.com,arn:aws:s3:::accounts-beta.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-beta.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-beta.appgyver.academy,arn:aws:s3:::accounts-beta.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-beta.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-beta.appgyver.black,arn:aws:s3:::accounts-beta.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-black.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-black.apguyver.com,arn:aws:s3:::accounts-black.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-black.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-black.apgyver.com,arn:aws:s3:::accounts-black.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-black.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-black.apparchitect.com,arn:aws:s3:::accounts-black.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-black.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-black.appguyver.com,arn:aws:s3:::accounts-black.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-black.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-black.appgyver.academy,arn:aws:s3:::accounts-black.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-black.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-black.appgyver.black,arn:aws:s3:::accounts-black.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-blog.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-blog.apguyver.com,arn:aws:s3:::accounts-blog.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-blog.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-blog.apgyver.com,arn:aws:s3:::accounts-blog.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-blog.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-blog.apparchitect.com,arn:aws:s3:::accounts-blog.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-blog.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-blog.appguyver.com,arn:aws:s3:::accounts-blog.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-blog.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-blog.appgyver.academy,arn:aws:s3:::accounts-blog.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-blog.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-blog.appgyver.black,arn:aws:s3:::accounts-blog.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-build.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-build.apguyver.com,arn:aws:s3:::accounts-build.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-build.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-build.apgyver.com,arn:aws:s3:::accounts-build.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-build.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-build.apparchitect.com,arn:aws:s3:::accounts-build.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-build.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-build.appguyver.com,arn:aws:s3:::accounts-build.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-build.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-build.appgyver.academy,arn:aws:s3:::accounts-build.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-build.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-build.appgyver.black,arn:aws:s3:::accounts-build.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-builder.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-builder.apguyver.com,arn:aws:s3:::accounts-builder.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-builder.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-builder.apgyver.com,arn:aws:s3:::accounts-builder.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-builder.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-builder.apparchitect.com,arn:aws:s3:::accounts-builder.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-builder.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-builder.appguyver.com,arn:aws:s3:::accounts-builder.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-builder.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-builder.appgyver.academy,arn:aws:s3:::accounts-builder.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-builder.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-builder.appgyver.black,arn:aws:s3:::accounts-builder.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-cloud.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-cloud.apguyver.com,arn:aws:s3:::accounts-cloud.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-cloud.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-cloud.apgyver.com,arn:aws:s3:::accounts-cloud.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-cloud.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-cloud.apparchitect.com,arn:aws:s3:::accounts-cloud.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-cloud.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-cloud.appguyver.com,arn:aws:s3:::accounts-cloud.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-cloud.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-cloud.appgyver.academy,arn:aws:s3:::accounts-cloud.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-cloud.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-cloud.appgyver.black,arn:aws:s3:::accounts-cloud.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-components.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-components.apguyver.com,arn:aws:s3:::accounts-components.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-components.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-components.apgyver.com,arn:aws:s3:::accounts-components.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-components.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-components.apparchitect.com,arn:aws:s3:::accounts-components.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-components.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-components.appguyver.com,arn:aws:s3:::accounts-components.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-components.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-components.appgyver.academy,arn:aws:s3:::accounts-components.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-components.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-components.appgyver.black,arn:aws:s3:::accounts-components.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer.apguyver.com,arn:aws:s3:::accounts-composer.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer.apgyver.com,arn:aws:s3:::accounts-composer.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer.apparchitect.com,arn:aws:s3:::accounts-composer.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer.appguyver.com,arn:aws:s3:::accounts-composer.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer.appgyver.academy,arn:aws:s3:::accounts-composer.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer.appgyver.black,arn:aws:s3:::accounts-composer.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer2.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer2.apguyver.com,arn:aws:s3:::accounts-composer2.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer2.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer2.apgyver.com,arn:aws:s3:::accounts-composer2.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer2.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer2.apparchitect.com,arn:aws:s3:::accounts-composer2.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer2.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer2.appguyver.com,arn:aws:s3:::accounts-composer2.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer2.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer2.appgyver.academy,arn:aws:s3:::accounts-composer2.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-composer2.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-composer2.appgyver.black,arn:aws:s3:::accounts-composer2.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-daisy.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-daisy.apguyver.com,arn:aws:s3:::accounts-daisy.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-daisy.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-daisy.apgyver.com,arn:aws:s3:::accounts-daisy.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-daisy.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-daisy.apparchitect.com,arn:aws:s3:::accounts-daisy.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-daisy.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-daisy.appguyver.com,arn:aws:s3:::accounts-daisy.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-daisy.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-daisy.appgyver.academy,arn:aws:s3:::accounts-daisy.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-daisy.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-daisy.appgyver.black,arn:aws:s3:::accounts-daisy.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-datastore.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-datastore.apguyver.com,arn:aws:s3:::accounts-datastore.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-datastore.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-datastore.apgyver.com,arn:aws:s3:::accounts-datastore.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-datastore.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-datastore.apparchitect.com,arn:aws:s3:::accounts-datastore.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-datastore.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-datastore.appguyver.com,arn:aws:s3:::accounts-datastore.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-datastore.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-datastore.appgyver.academy,arn:aws:s3:::accounts-datastore.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-datastore.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-datastore.appgyver.black,arn:aws:s3:::accounts-datastore.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-debugger.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-debugger.apguyver.com,arn:aws:s3:::accounts-debugger.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-debugger.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-debugger.apgyver.com,arn:aws:s3:::accounts-debugger.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-debugger.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-debugger.apparchitect.com,arn:aws:s3:::accounts-debugger.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-debugger.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-debugger.appguyver.com,arn:aws:s3:::accounts-debugger.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-debugger.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-debugger.appgyver.academy,arn:aws:s3:::accounts-debugger.appgyver.academy,s3,811596193553,us-west-2
